Zaszumienie kana³u (w promilach);Œrednia iloœæ niepoprawnych pakietów;Odchylenie standardowe
0;0;0
1;0;0
2;0;0
3;0;0
4;0,040816327;0,197864484
5;0,142857143;0,349927106
6;0,020408163;0,141391903
7;0,06122449;0,239741635
8;0,163265306;0,421219744
9;0,163265306;0,421219744
10;0,265306122;0,56335403
11;0,224489796;0,463584355
12;0,367346939;0,629021837
13;0,306122449;0,676246593
14;0,285714286;0,606091527
15;0,367346939;0,873507533
16;0,612244898;0,876363696
17;0,530612245;0,702823484
18;0,551020408;0,834491767
19;0,571428571;0,832993128
20;0,795918367;0,880157496
21;0,795918367;0,856656811
22;0,897959184;1,073709913
23;1,204081633;1,124487944
24;0,897959184;0,909022753
25;1,183673469;1,003533947
26;1,489795918;1,295556755
27;1,306122449;1,128554821
28;1,408163265;1,210807916
29;1,673469388;1,167375481
30;1,959183673;1,442208959
31;1,469387755;1,108446989
32;2,040816327;1,399113184
33;1,612244898;0,985948762
34;2,306122449;1,668484362
35;2,06122449;1,517357575
36;2,367346939;1,521195523
37;2,734693878;1,548870691
38;2,081632653;1,549677184
39;2,959183673;1,511306823
40;3,12244898;1,598885493
41;2,530612245;1,579227928
42;3,87755102;1,847586987
43;3,428571429;1,937808567
44;3,204081633;1,829236395
45;3,653061224;1,635711421
46;3,224489796;1,515434956
47;4,183673469;1,710394028
48;4,469387755;1,970207083
49;3,551020408;1,703073147
50;4,489795918;2,120092884
51;4,632653061;2,256002221
52;4,775510204;2,043059991
53;5,040816327;1,737452788
54;5,489795918;2,450509726
55;4,918367347;2,107680171
56;6,040816327;2,813663337
57;5,530612245;2,30440608
58;6,346938776;2,535873399
59;5,612244898;2,117144077
60;7;2,680237577
61;6,530612245;2,564292008
62;6,265306122;2,632415746
63;6,755102041;2,453906608
64;6,408163265;2,709909008
65;7,326530612;2,867038258
66;7,163265306;2,518072949
67;7,755102041;2,31702318
68;8,346938776;2,646144831
69;7,918367347;2,855976438
70;8,142857143;2,482592457
71;8,87755102;2,600099316
72;8,265306122;2,545708756
73;8,632653061;3,192426481
74;8,693877551;2,62020471
75;9,204081633;2,579191392
76;9,775510204;3,357995674
77;9,653061224;2,527812803
78;9,244897959;2,903415387
79;9,918367347;2,841648951
80;10,79591837;2,948396948
81;10,36734694;2,925565548
82;10,97959184;2,802985259
83;10,67346939;2,298071553
84;10,85714286;3,213491965
85;11,16326531;3,234677783
86;11,48979592;2,756235594
87;11,81632653;3,842158563
88;12,6122449;3,300070046
89;12;3,374574803
90;12,44897959;3,586034274
91;13,55102041;3,752883107
92;12,06122449;3,260200089
93;13,04081633;3,697540184
94;13,59183673;3,516250132
95;13,46938776;2,857871627
96;13,46938776;3,295649828
97;14,20408163;3,232359294
98;15,08163265;3,1417968
99;14,67346939;3,9038848
100;15,28571429;3,917516915
101;15,93877551;3,883025137
102;15,48979592;3,954446988
103;15,44897959;3,399046832
104;15,75510204;3,093974475
105;15,83673469;3,388738485
106;16,44897959;3,828258113
107;16,53061224;3,769382783
108;16,95918367;4,100568321
109;17,85714286;2,610809555
110;17,81632653;4,064146216
111;16,40816327;3,75210617
112;17,81632653;3,305366505
113;18,2244898;3,581501829
114;18,14285714;3,969269711
115;18,51020408;4,160663453
116;19,81632653;3,69596288
117;19,12244898;3,479576875
118;19,02040816;3,536917809
119;20;4,020356366
120;20,14285714;4,237827707
121;20,97959184;3,571370262
122;19,79591837;3,870240154
123;20,83673469;3,632882359
124;22,48979592;4,291055952
125;22,63265306;4,401733784
126;22,55102041;3,709124021
127;21,24489796;4,537960579
128;22,40816327;3,854064207
129;22,2244898;4,704601769
130;22,30612245;3,56401563
131;22,7755102;3,882274245
132;22,3877551;4,074892394
133;22,36734694;3,646042739
134;24,12244898;3,977655206
135;24,97959184;4,220889721
136;25,08163265;4,548319872
137;24,08163265;4,44851149
138;24,85714286;5,279919604
139;25,14285714;3,774241375
140;24,7755102;4,348423623
141;25,36734694;3,983096311
142;26,30612245;4,699996012
143;26,75510204;4,451693611
144;25,91836735;4,597411582
145;27,44897959;4,768353263
146;27,26530612;4,369539789
147;28,10204082;3,699116817
148;28,28571429;4,095791768
149;28,04081633;5,248747892
150;28,42857143;4,584801867
151;29,53061224;3,83912214
152;28,83673469;5,285123283
153;28,53061224;4,477162188
154;29,63265306;4,003538626
155;30,36734694;4,410996822
156;31,30612245;4,185514776
157;28,93877551;4,259003252
158;30,85714286;4,257046979
159;30,57142857;4,69041576
160;31,53061224;5,010609319
161;30,91836735;4,494153729
162;32,20408163;3,591256911
163;31,6122449;4,968539089
164;33,08163265;4,75453268
165;31,67346939;3,97126287
166;32,85714286;4,39851552
167;32,44897959;4,233304419
168;33,06122449;4,353784013
169;33,63265306;5,101795912
170;33,85714286;4,780914437
171;35,04081633;5,781600596
172;33,97959184;4,483483503
173;35,24489796;4,88868169
174;35,40816327;5,710421434
175;35,20408163;4,421559388
176;34,7755102;4,102091583
177;37,04081633;4,67280095
178;36,08163265;5,162014852
179;35,89795918;5,949600906
180;38,26530612;5,565108174
181;38,30612245;5,349820068
182;37,67346939;4,917224018
183;37,57142857;4,944590943
184;38,24489796;5,895451766
185;37,89795918;4,949726432
186;40,10204082;4,180835274
187;39,20408163;5,375604729
188;39,34693878;5,460623499
189;40,6122449;4,232123636
190;39,16326531;4,756722155
191;39,91836735;5,08232927
192;39,48979592;4,620815587
193;40,51020408;4,882799669
194;39,73469388;5,554095787
195;41,91836735;5,240488896
196;41,81632653;4,830487656
197;42,48979592;4,324219637
198;41,12244898;4,307718052
199;42,24489796;4,829884066
200;43,7755102;5,135968824
201;43,87755102;5,317021773
202;42,91836735;5,08232927
203;42,97959184;5,26633434
204;43,34693878;5,354955822
205;42,79591837;5,154667359
206;44,55102041;4,435760177
207;43,89795918;4,185713788
208;45,28571429;4,562491264
209;44,67346939;5,912241728
210;44,65306122;4,240480433
211;45,44897959;3,979853471
212;45,44897959;4,920018353
213;45,97959184;6,025421641
214;46,18367347;4,826260941
215;45,85714286;5,543887975
216;46,06122449;4,966862284
217;47,24489796;5,419280065
218;44,65306122;5,048948245
219;47,87755102;5,243587544
220;47,51020408;5,581026345
221;48,14285714;5,174505793
222;47,51020408;4,920272304
223;48,20408163;5,310673088
224;49,2244898;5,187368119
225;50,28571429;4,080816245
226;49,85714286;4,898979486
227;50,16326531;5,365600709
228;49,12244898;4,419957766
229;48,83673469;4,700616281
230;50,36734694;4,839016081
231;50,2244898;5,234365666
232;50,71428571;5,387059324
233;51,14285714;4,92391084
234;51,36734694;4,457023247
235;51,20408163;4,361143792
236;51,34693878;4,108483113
237;51,40816327;4,801863445
238;53,02040816;4,757335028
239;52,59183673;5,458258552
240;52,44897959;4,965436555
241;54,04081633;4,977333044
242;52,7755102;6,011096223
243;53,02040816;5,542009493
244;52,32653061;4,007074128
